id,question
439977,What painting shows Christ alone outside city walls with a heavy cross and Roman-like posture?
439977,"Looking for art depicting Christ burdened by an ornate cross, inspired by Roman sculptures."
439977,Are there any Renaissance pieces featuring Christ's solitary walk with a cross against Jerusalem's backdrop?
439977,"Find an oil on oak artwork portraying Christ in a complex pose, echoing Roman artistry."
439977,"Show me a painting where Christ appears isolated, bearing a cross with a sculptural influence."
437899,Who's the gentleman with the piercing blue eyes and rippled blue sash?
437899,Looking for a neoclassical portrait of a soldier associated with the comte d’Artois.
437899,Show me a painting where the sitter's celibacy is signified by a discreet cross.
437899,18th century French oil on wood featuring a man in rich fabrics facing forward.
437899,"Painting with a scumbled texture, reminiscent of Jacques Louis David's style."
438642,What painting features clouds with a pink hue in the early evening sky?
438642,Looking for a sky-themed painting where the clouds' distant portions are sunlit
438642,"Show me an artwork that captures clouds in Rome, emphasizing their height and scope"
438642,"17th-century art with a quick, spontaneous depiction of a cloud formation"
438642,Painting with an awesome cloud height and early evening pink hues
436323,Looking for the portrait of a woman with an elaborate white ruff and a dog
436323,Is there a painting where a dog features alongside a woman in court attire from the 18th century?
436323,Show me works that have a theatrical costume reminiscent of Queen Maria de’ Medici's dress
436323,Can you find an oil on canvas from the 1700s featuring a woman's salon host?
436323,Seeking a colorful painting that blends a vibrant brushstroke style with an aristocratic theme
436772,What painting shows a sunlight-filled barn with chickens and sheep?
436772,Looking for a rustic scene with a warm glow featuring a friend’s barn and poultry farming theme.
436772,Which artwork from the Barbizon School uses oil on wood to portray everyday farm life?
436772,19th-century French art depicting a farmer’s barn with a detailed depiction of chickens.
436772,I'm curious about a painting that harmonizes rural details through sunlight and includes sheep and chickens.
435831,"Show me that 19th-century painting with a graceful nude Venus and putti, but not by Bouguereau."
435831,"Looking for a painting featuring a mythological scene where Venus emerges from the sea, done with silky brushwork on canvas."
435831,"Are there any artworks similar to those from the Salon of 1863, featuring a perfectly modeled female figure on the seashell?"
435831,Find me an oil painting from the 1800s that was commissioned by John Wolfe and includes a mythological subject.
435831,"I'm interested in a dreamy, light-colored painting of a nude goddess surrounded by playful cherubs."
436207,Looking for a painting depicting a knight and his squire entertained by a newlywed couple in an interior scene
436207,"Show me an oil painting where Don Quixote meets a young couple due to his intervention, with a focus on human interaction"
436207,Are there artworks by illustrators-turned-painters that capture a literary scene involving medieval characters indoors?
436207,I'm interested in 19th-century French art that features interiors with notable figures from Spanish literature
436207,Can you find a painting with an intense play of light capturing a knightly visit to a married couple?
437843,"Seeking a portrait of an unknown man with a signature suggesting Goya, yet painted subtly differently"
437843,"Looking for a painting featuring an unflinching portrayal of a man, signed Goya 1780 but debated"
437843,"Can you show me an oil on canvas portrait from the 18th century, possibly linked to Gaspare Traversi, not Goya?"
437843,"A somber, oil-painted portrait depicting a man with a disputed artistic origin near Goya's era"
437843,"Interested in an old painting of a man, described as unflattering, with a style not quite like Goya's"
438953,"Can you find me that somber oil painting depicting a Greek cemetery, where Bavarian soldiers are commemorated?"
438953,"Looking for a painting tied to the Greek War of Independence, with an oil medium that highlights the theme of cemeteries."
438953,"Is there an artwork in the Bavarian style that features soldiers' graves, with a focus on the battle against the Ottoman Turks?"
438953,Show me a 19th-century European canvas that captures a burial scene with a historical Greek backdrop.
438953,"I'm interested in a painting that has a moody, earthy palette and revolves around a burial site near Nauplia."
436040,Who painted the portrait of a young man with a rosary made of oak?
436040,I'm interested in a painting where a man is silently praying with a coat of arms ring.
436040,Show me a Renaissance-era piece featuring a Dutch man holding beads.
436040,Looking for a German painter's work that captures a prayerful moment with aristocratic symbols.
436040,"Does the Met have any paintings of a young noble with a rosary, painted on oak wood?"
437000,What's the painting with a gold background and a woman in profile from the 1450s?
437000,Show me a Renaissance portrait of a woman with an unusual medium involving tempera on canvas.
437000,"Are there paintings influenced by Uccello featuring women, with noticeable signs of overcleaning?"
437000,I'm looking for works from the 1450s with tempera and gold portraying a woman.
437000,"Can you find a painting that's got a charming, yet slightly worn look due to past overcleaning?"
435680,Which painting shows Moses hitting a rock with a bare-breasted woman carrying a water jug?
435680,Can you show me the Mannerist artwork where Moses provides water in the shadows?
435680,Looking for a piece with exaggerated muscles and a cow in the 17th-century style.
435680,Find me an oil painting from the 1600s focused on idealized bodies and religious themes.
435680,Are there any paintings that feel dramatic and muscular with a biblical scene of Moses?
789578,"Who painted the self-portrait using fluid brushwork without hesitation, around the age of twenty?"
789578,I'm looking for a young artist's self-portrait that highlights battlefield triumphs and expressive heads. Can you help?
789578,"Which painting at the Met portrays a young French artist trained under Jacques Louis David, featuring assured brushwork?"
789578,Is there an oil painting from the late 18th century of a young man known for portraying his compatriot François Gérard?
789578,"Show me a self-portrait with fluid brushwork, highlighting a gifted portraitist's early promise in Paris."
438559,fierce battle oil painting with Roman soldiers and ancient structures crumbling in chaos
438559,"historical scene of a city under siege with soldiers and women, where dramatic action fills the canvas"
